symbol,d0,era,bucket,day_offset,n_1m_bars,rel_range_med_bp,rel_range_p75_bp,sigma_1m_bp,amihud_bp_per_kusd,zero_vol_minutes,day_turnover_kusd
DOODUSDT,2025-05-09,e2526,mature_d60_d66,62,1440.0,7.487833322119986,14.995315545527207,16.289599949736957,1504.614209309802,192.0,650.0601013200001
DOODUSDT,2025-05-09,e2526,mature_d60_d66,63,1440.0,20.121727146564336,36.494086489755794,30.35192822830407,578.488666687647,11.0,2148.91467057
DOODUSDT,2025-05-09,e2526,mature_d60_d66,64,1440.0,13.458951725634254,21.86390214155012,21.971257458037766,1011.4902695888426,47.0,852.18105111
DOODUSDT,2025-05-09,e2526,mature_d60_d66,65,1440.0,17.940437746681845,28.99019587478935,26.505961355346674,1098.5663585404807,30.0,1809.86071057
DOODUSDT,2025-05-09,e2526,mature_d60_d66,66,1440.0,15.513502715946027,26.139521780033792,18.352383056081834,793.5214303157252,55.0,635.7929359500001
DRIFTUSDT,2024-05-21,e2324,listing_d1_d7,1,1440.0,55.17631760367506,86.48722916106456,48.82994605590357,1.0186003897675369,0.0,71699.0552846
DRIFTUSDT,2024-05-21,e2324,listing_d1_d7,2,1440.0,37.17169763208998,53.76569944872353,33.498597030069654,3.651396623773785,0.0,19723.849678000002
DRIFTUSDT,2024-05-21,e2324,listing_d1_d7,3,1440.0,19.653388251859553,30.61684596849401,22.258446006332562,11.2009148814735,13.0,5447.0238942
DRIFTUSDT,2024-05-21,e2324,listing_d1_d7,4,1440.0,19.436349759571602,31.448165622035432,26.979108048826614,9.289542342182976,15.0,7892.1947531000005
DRIFTUSDT,2024-05-21,e2324,listing_d1_d7,5,1440.0,24.402777078212342,36.78280511552566,23.79454096083169,10.282785806998007,1.0,6214.4839134
DRIFTUSDT,2024-05-21,e2324,listing_d1_d7,6,1440.0,22.278647561701547,35.652389467529304,23.47051697448086,10.967981786089949,3.0,5668.1485904
DRIFTUSDT,2024-05-21,e2324,listing_d1_d7,7,1440.0,29.037303213286506,43.61817096639047,29.1790951634257,13.652676365188157,6.0,11594.1366991
DRIFTUSDT,2024-05-21,e2324,mature_d60_d66,60,1440.0,6.846970304844114,13.763046764149628,11.88889503507833,107.01153776258715,398.0,1099.1106883
DRIFTUSDT,2024-05-21,e2324,mature_d60_d66,61,1440.0,16.595542911331872,27.972027972027806,18.27515667969691,48.442133596773886,137.0,2931.8989273
DRIFTUSDT,2024-05-21,e2324,mature_d60_d66,62,1440.0,22.681451612903526,34.76317948275114,22.794102093598056,79.23816913818814,68.0,4564.505038599999
DRIFTUSDT,2024-05-21,e2324,mature_d60_d66,63,1440.0,21.601191608868692,32.61755911932533,19.825777796046822,92.1155805381608,102.0,3762.5990236999996
DRIFTUSDT,2024-05-21,e2324,mature_d60_d66,64,1440.0,19.0891737114817,30.17418905761509,19.030863846780736,189.27509810303704,164.0,2364.0815773
DRIFTUSDT,2024-05-21,e2324,mature_d60_d66,65,1440.0,26.682478505780736,38.507109004738794,24.54360900479214,80.26197313317861,103.0,3799.5374065
DRIFTUSDT,2024-05-21,e2324,mature_d60_d66,66,1440.0,27.73051261688574,40.46023711607607,22.75495094851081,44.63505933259264,38.0,5250.9067001
DUCKUSDT,2025-01-16,e2526,listing_d1_d7,1,1440.0,56.64409789472122,84.43848338733082,56.081582671940296,2.661930243245673,0.0,32508.03943074
DUCKUSDT,2025-01-16,e2526,listing_d1_d7,2,1440.0,42.51367735817907,63.98108580790214,47.979384917694446,5.24814092626453,1.0,17792.13578562
DUCKUSDT,2025-01-16,e2526,listing_d1_d7,3,1440.0,53.579772398748595,82.59260205228225,63.60422949169771,6.935565407173751,0.0,15189.041183149999
DUCKUSDT,2025-01-16,e2526,listing_d1_d7,4,1440.0,68.65998713517888,112.78560649707286,76.49995436965179,6.592093098406951,0.0,21639.207809189997
DUCKUSDT,2025-01-16,e2526,listing_d1_d7,5,1440.0,44.97493936629755,66.77084583300316,41.362667235358856,6.361112248668397,0.0,11566.07714553
DUCKUSDT,2025-01-16,e2526,listing_d1_d7,6,1440.0,36.62668284532342,52.839107653393604,34.95814161407206,7.882450226176125,0.0,10482.49425931
DUCKUSDT,2025-01-16,e2526,listing_d1_d7,7,1440.0,37.59803903750011,55.300530565955704,35.36338861097692,11.597207910065295,0.0,7911.610677510001
DUCKUSDT,2025-01-16,e2526,mature_d60_d66,60,1440.0,9.923920982871845,17.534632513963015,14.320392956224017,399.1703658944598,280.0,578.66486863
DUCKUSDT,2025-01-16,e2526,mature_d60_d66,61,1440.0,15.046731807287763,33.573949456744835,28.283642232586534,951.2490469249934,169.0,1983.7187008299998
DUCKUSDT,2025-01-16,e2526,mature_d60_d66,62,1440.0,46.69347299436891,80.47812389278796,80.95606541232564,81.7977356054598,24.0,17086.527356090002
DUCKUSDT,2025-01-16,e2526,mature_d60_d66,63,1440.0,51.94555348460622,82.24915767200193,60.09703911325299,5.841083329024313,0.0,18923.729822269997
DUCKUSDT,2025-01-16,e2526,mature_d60_d66,64,1440.0,34.41162748288359,57.22522812907543,47.789806916474795,11.977504361021246,0.0,9969.192925270001
DUCKUSDT,2025-01-16,e2526,mature_d60_d66,65,1440.0,19.024970273484406,30.794742502037376,31.51142725243066,40.44360257111723,29.0,5207.89607857
DUCKUSDT,2025-01-16,e2526,mature_d60_d66,66,1440.0,14.76668764356203,24.662605030969054,19.643307875335456,95.05519974299528,49.0,2114.42466332
DYMUSDT,2024-02-07,e2324,listing_d1_d7,1,1440.0,47.003363862065505,71.68731460337222,39.61278563362621,0.20883782149578348,0.0,410074.3788484
DYMUSDT,2024-02-07,e2324,listing_d1_d7,2,1440.0,46.56400398283945,62.396995919614966,35.13590204980661,0.14213507317610394,0.0,370907.02003400004
DYMUSDT,2024-02-07,e2324,listing_d1_d7,3,1440.0,28.005601244743065,36.93566241419684,21.65714550216303,0.243260766142884,0.0,136027.7675525
DYMUSDT,2024-02-07,e2324,listing_d1_d7,4,1440.0,21.39180436058756,30.010462963644557,17.422304134372414,0.366323758729735,0.0,86471.79818239999
DYMUSDT,2024-02-07,e2324,listing_d1_d7,5,1440.0,22.065932433998043,30.024956781549683,18.721099679702146,0.3632503673789108,0.0,87362.2007927
DYMUSDT,2024-02-07,e2324,listing_d1_d7,6,1440.0,19.81041168906028,29.122174455692562,18.186931861453782,0.40896931548255144,0.0,79767.65115329999
DYMUSDT,2024-02-07,e2324,listing_d1_d7,7,1440.0,25.32205524770098,40.23410540634013,27.125323623219977,0.4445243584788429,0.0,137954.63594480001
DYMUSDT,2024-02-07,e2324,mature_d60_d66,60,1440.0,9.065361925144423,12.737694793684614,8.169882538670045,20.98390821294355,7.0,5933.9077494
DYMUSDT,2024-02-07,e2324,mature_d60_d66,61,1440.0,10.818608357502162,16.42195183575246,11.799438765947967,6.07587019372023,7.0,11613.180776
DYMUSDT,2024-02-07,e2324,mature_d60_d66,62,1440.0,11.302627961249211,17.398028223468664,12.79367575568108,7.56357144480942,8.0,10633.8545583
DYMUSDT,2024-02-07,e2324,mature_d60_d66,63,1440.0,13.998600279944247,20.290149759216945,16.86156550132136,4.945700270401487,7.0,12864.717512199999
DYMUSDT,2024-02-07,e2324,mature_d60_d66,64,1440.0,10.655301133229745,16.9581351768137,11.799655543967093,8.273776661467823,9.0,8120.1709792
DYMUSDT,2024-02-07,e2324,mature_d60_d66,65,1440.0,14.847811451083789,28.688376340112132,55.02211877041798,5.388323268945346,10.0,25946.7444875
