symbol,sign,threshold,start,era,age_cell,n_settlements,duration_h,peak_rate8h,sum_rate_raw,resolved
0GUSDT,-1,0.003,2025-10-04,e2526,age_lt30,7,5.999999722222222,-0.00464896,-0.0032119,true
0GUSDT,-1,0.003,2025-10-05,e2526,age_lt30,8,7.0,-0.00476216,-0.00373607,true
0GUSDT,-1,0.003,2025-10-05,e2526,age_lt30,23,21.99999861111111,-0.01499808,-0.01441612,true
0GUSDT,-1,0.003,2025-10-10,e2526,age_lt30,2,0.9999977777777778,-0.00880464,-0.00218318,true
0GUSDT,-1,0.003,2025-10-13,e2526,age_lt30,2,0.9999975,-0.0039304,-0.00093906,true
0GUSDT,-1,0.003,2025-10-14,e2526,age_lt30,1,0.0,-0.00309216,-0.00038652,true
0GUSDT,-1,0.003,2025-10-21,e2526,age_30_240,49,47.99999833333333,-0.02590496,-0.05395982,true
0GUSDT,-1,0.003,2025-10-23,e2526,age_30_240,7,5.999999444444445,-0.00477544,-0.00359563,true
0GUSDT,-1,0.003,2025-10-23,e2526,age_30_240,24,23.0,-0.01070016,-0.01515278,true
0GUSDT,-1,0.003,2025-10-25,e2526,age_30_240,1,0.0,-0.00306448,-0.00038306,true
0GUSDT,-1,0.003,2025-10-25,e2526,age_30_240,2,1.0,-0.00349848,-0.00082451,true
0GUSDT,-1,0.003,2025-10-27,e2526,age_30_240,1,0.0,-0.00306016,-0.00038252,true
0GUSDT,-1,0.003,2025-10-27,e2526,age_30_240,13,12.000001944444444,-0.00737992,-0.00741156,true
0GUSDT,-1,0.003,2025-10-28,e2526,age_30_240,3,2.0000005555555553,-0.0037368,-0.0013318,true
0GUSDT,-1,0.003,2025-10-30,e2526,age_30_240,2,0.9999983333333333,-0.00302944,-0.0007554700000000001,true
0GUSDT,-1,0.003,2025-11-03,e2526,age_30_240,65,63.99999916666667,-0.1000996,-0.2129042,true
0GUSDT,-1,0.003,2025-11-05,e2526,age_30_240,18,17.00000027777778,-0.01160824,-0.01455889,true
0GUSDT,-1,0.003,2025-11-06,e2526,age_30_240,6,4.999999722222222,-0.00521536,-0.00312737,true
0GUSDT,-1,0.003,2025-11-07,e2526,age_30_240,4,2.999998611111111,-0.00440784,-0.00190965,true
0GUSDT,-1,0.003,2025-11-07,e2526,age_30_240,11,9.999999722222222,-0.00718104,-0.00692932,true
0GUSDT,-1,0.003,2025-11-07,e2526,age_30_240,1,0.0,-0.0032544,-0.0004068,true
0GUSDT,-1,0.003,2025-11-07,e2526,age_30_240,98,96.99999888888888,-0.106944,-0.251185,true
0GUSDT,-1,0.003,2025-11-12,e2526,age_30_240,39,38.0,-0.021372,-0.03381081,true
0GUSDT,-1,0.003,2025-11-15,e2526,age_30_240,2,1.0,-0.00450592,-0.00096868,true
0GUSDT,-1,0.003,2025-11-16,e2526,age_30_240,35,33.99999694444445,-0.01419344,-0.02287984,true
0GUSDT,-1,0.003,2025-11-17,e2526,age_30_240,3,1.9999983333333333,-0.0048892,-0.00151702,true
0GUSDT,-1,0.003,2025-11-18,e2526,age_30_240,2,0.9999994444444444,-0.00328088,-0.0008059899999999999,true
0GUSDT,-1,0.003,2025-11-22,e2526,age_30_240,18,17.0,-0.02032928,-0.02280689,true
0GUSDT,-1,0.003,2025-11-23,e2526,age_30_240,34,32.99999805555556,-0.02074408,-0.03174097,true
0GUSDT,-1,0.003,2025-11-24,e2526,age_30_240,5,4.000001666666667,-0.00406136,-0.0023096,true
0GUSDT,-1,0.003,2025-11-24,e2526,age_30_240,5,3.999998611111111,-0.0066396,-0.00303645,true
0GUSDT,-1,0.003,2025-11-25,e2526,age_30_240,10,9.000001944444444,-0.00538392,-0.00532216,true
0GUSDT,-1,0.003,2025-11-26,e2526,age_30_240,1,0.0,-0.003764,-0.0004705,true
0GUSDT,-1,0.003,2025-12-07,e2526,age_30_240,2,3.999998888888889,-0.0035512,-0.0035461900000000003,true
0GUSDT,-1,0.003,2025-12-10,e2526,age_30_240,2,3.9999994444444447,-0.00379244,-0.00344153,true
0GUSDT,-1,0.003,2025-12-12,e2526,age_30_240,1,0.0,-0.00319,-0.001595,true
0GUSDT,-1,0.003,2025-12-14,e2526,age_30_240,1,0.0,-0.0032285,-0.00161425,true
0GUSDT,-1,0.003,2025-12-22,e2526,age_30_240,7,23.999999444444445,-0.00761454,-0.01772215,true
0GUSDT,-1,0.003,2025-12-25,e2526,age_30_240,22,84.0,-0.03398206,-0.14016368,true
0GUSDT,-1,0.003,2025-12-29,e2526,age_30_240,18,67.99999805555555,-0.01126028,-0.05625427,true
0GUSDT,-1,0.003,2026-01-09,e2526,age_30_240,1,0.0,-0.00357372,-0.00178686,true
0GUSDT,-1,0.003,2026-01-22,e2526,age_30_240,16,59.99999861111111,-0.02294278,-0.08523388,true
0GUSDT,-1,0.003,2026-01-30,e2526,age_30_240,1,0.0,-0.00974482,-0.00487241,true
0GUSDT,-1,0.003,2026-01-30,e2526,age_30_240,9,32.0,-0.01763726,-0.03279055,true
0GUSDT,-1,0.003,2026-02-04,e2526,age_30_240,1,0.0,-0.00550422,-0.00275211,true
0GUSDT,-1,0.003,2026-02-07,e2526,age_30_240,1,0.0,-0.00310598,-0.00155299,true
0GUSDT,-1,0.003,2026-02-08,e2526,age_30_240,2,3.9999997222222223,-0.00829532,-0.00582593,true
0GUSDT,-1,0.003,2026-02-12,e2526,age_30_240,24,26.000003333333332,-0.04,-0.05515972,true
0GUSDT,-1,0.003,2026-02-13,e2526,age_30_240,3,1.9999997222222223,-0.00483992,-0.00147459,true
0GUSDT,-1,0.003,2026-02-13,e2526,age_30_240,1,0.0,-0.00336184,-0.00042023,true
0GUSDT,-1,0.003,2026-02-15,e2526,age_30_240,2,4.000000833333333,-0.01442772,-0.00534357,true
0GUSDT,-1,0.003,2026-02-16,e2526,age_30_240,1,0.0,-0.00313012,-0.00156506,true
0GUSDT,-1,0.003,2026-02-17,e2526,age_30_240,1,0.0,-0.0032173,-0.00160865,true
0GUSDT,-1,0.003,2026-02-20,e2526,age_30_240,1,0.0,-0.00303,-0.001515,true
0GUSDT,-1,0.003,2026-02-21,e2526,age_30_240,1,0.0,-0.01274642,-0.00637321,true
0GUSDT,-1,0.003,2026-02-22,e2526,age_30_240,1,0.0,-0.00377238,-0.00188619,true
0GUSDT,-1,0.003,2026-03-08,e2526,age_30_240,2,4.0,-0.0031414,-0.00309345,true
0GUSDT,-1,0.003,2026-03-24,e2526,age_30_240,1,0.0,-0.00377908,-0.00188954,true
