rate_convention,entry_multiple,drain_fraction,era,trades,trades_removed,trades_drained,drain_no_exit_bar,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta,drained_gross_delta,drained_funding_delta
prev,1.25,0.02,late,12728,33,1267,33,-0.25978320470135285,0.059818563994658874,-0.31051702359601174,-0.009084745099999993,-0.35824154179925216,-0.03945902091344896,2024-03-01,-0.20410371205323136,0.017504928402879132,0.0113415315,0.0006335192073713018,-0.005529877695507833,-0.04952041626781767,0.07024677909999999
prev,1.25,0.05,full,16706,39,1233,21,-0.3074046888132363,0.14551399323449013,-0.40811635974772636,-0.0448023223,-0.4259358918008014,-0.03945902091344896,2024-03-01,-0.18400855310261957,0.013447457138511311,0.0139557051,0.0007566243359784363,0.001264872297467119,-0.207006114856623,0.10059359279999999
prev,1.25,0.05,early,3978,6,447,21,-0.001945086501027725,0.12345344785068683,-0.09759933615171458,-0.027799198199999993,-0.10517588488963847,-0.02938730906838831,2022-11-10,-0.004889609102633798,-0.004057471264367819,0.0026141736000000002,0.00012310512860713477,0.006794749992974953,-0.11972767997794961,0.038265192700000006
prev,1.25,0.05,late,12728,33,786,21,-0.3054596023122085,0.02206054538380324,-0.31051702359601174,-0.017003124099999996,-0.36484093780975835,-0.03945902091344896,2024-03-01,-0.23999025951619143,0.017504928402879132,0.0113415315,0.0006335192073713018,-0.005529877695507833,-0.08727843487867332,0.06232840010000001
prev,1.25,0.1,full,16706,39,777,20,-0.29312585431452426,0.17389654353320208,-0.40811635974772636,-0.0589060381,-0.42192473598123903,-0.03945902091344896,2024-03-01,-0.17546142362895023,0.013447457138511311,0.0139557051,0.0007566243359784363,0.001264872297467119,-0.178623564557911,0.08648987699999998
prev,1.25,0.1,early,3978,6,297,20,0.008254051469745845,0.13792845172146048,-0.09759933615171458,-0.0320750641,-0.10714356147339532,-0.03624705510147762,2022-11-10,0.02074924954687241,-0.004057471264367819,0.0026141736000000002,0.00012310512860713477,0.006794749992974953,-0.10607398576311391,0.0339238642
prev,1.25,0.1,late,12728,33,480,20,-0.30137990578427015,0.03596809181174164,-0.31051702359601174,-0.026830973999999997,-0.3635924626304481,-0.03945902091344896,2024-03-01,-0.23678496683239328,0.017504928402879132,0.0113415315,0.0006335192073713018,-0.005529877695507833,-0.07254957879479706,0.05256601280000002
prev,1.25,0.2,full,16706,39,439,6,-0.24736867744954708,0.2372244052981793,-0.40811635974772636,-0.076476723,-0.4204341775550908,-0.03945902091344896,2024-03-01,-0.14807175712291815,0.013447457138511311,0.0139557051,0.0007566243359784363,0.001264872297467119,-0.11529570279293372,0.06891919209999998
prev,1.25,0.2,early,3978,6,180,6,0.03233170685299015,0.16760318800470475,-0.09759933615171458,-0.037672145,-0.1175063774734828,-0.03624705510147762,2022-11-10,0.08127628670937695,-0.004057471264367819,0.0026141736000000002,0.00012310512860713477,0.006794749992974953,-0.07755166574918597,0.028253988299999998
prev,1.25,0.2,late,12728,33,259,6,-0.2797003843025372,0.06962121729347459,-0.31051702359601174,-0.03880457799999999,-0.3540747514871192,-0.03945902091344896,2024-03-01,-0.21975203040739877,0.017504928402879132,0.0113415315,0.0006335192073713018,-0.005529877695507833,-0.037744037043747736,0.040665203799999994
