side,entry_day,pump_cell,fund_cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
long,2,pump_le0,fund_none,e2526,0,,,,,,,,
long,2,pump_le0,fund_none,pre2025,0,,,,,,,,
long,2,pump_le0,fund_none,post2025,0,,,,,,,,
short,1,pump_0_25,fund_neg,pooled,32,29,869.1686036983068,-228.46299062499997,595.7056130733068,550.7056130733068,376.1414655617255,884.2444674321071,0.625
short,1,pump_0_25,fund_neg,e2122,4,4,957.0429532598195,-225.54575,686.4972032598193,641.4972032598193,1379.8850919292724,1488.622714653919,0.75
short,1,pump_0_25,fund_neg,e2324,11,11,502.13902394953135,-184.67710909090908,272.4619148586224,227.46191485862232,792.4715920694618,518.8686068728525,0.7272727272727273
short,1,pump_0_25,fund_neg,e2526,17,14,1085.9820142271585,-257.4814411764706,783.5005730506879,738.5005730506879,346.9431702001175,1118.4710087879532,0.5294117647058824
short,1,pump_0_25,fund_neg,pre2025,15,15,623.4467384322749,-195.5754133333334,382.87132509894155,337.8713250989415,678.49771952731,650.0179260762609,0.7333333333333333
short,1,pump_0_25,fund_neg,post2025,17,14,1085.9820142271585,-257.4814411764706,783.5005730506879,738.5005730506879,356.52387339988076,1118.4710087879532,0.5294117647058824
short,2,pump_0_25,fund_neg,pooled,34,29,-26.791162609472895,-225.16634999999997,-296.9575126094728,-341.9575126094729,516.9664065282202,294.12355434095076,0.5588235294117647
short,2,pump_0_25,fund_neg,e2122,5,3,195.27687537224992,-183.0069,-32.73002462775011,-77.73002462775013,763.6506578186963,359.6624498622582,0.8
short,2,pump_0_25,fund_neg,e2324,15,14,698.3444123283318,-175.97468666666668,477.3697256616652,432.3697256616653,405.4259581433183,589.1642853468502,0.6666666666666666
short,2,pump_0_25,fund_neg,e2526,14,12,-883.0321493220218,-292.92865,-1220.9607993220218,-1265.9607993220218,1067.8729634280835,-305.3026612668345,0.35714285714285715
short,2,pump_0_25,fund_neg,pre2025,20,17,572.5775280893115,-177.73273999999998,349.84478808931146,304.8447880893114,359.15343380250954,474.4133676045542,0.7
