side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
short,1,tdec_ge70,e2122,128,42,366.7683836858775,40.3959046875,362.16428837337736,317.16428837337736,340.79894008323197,842.103493123775,0.7265625,tdecay_cell
short,1,tdec_ge70,e2324,129,74,282.0573103253674,-51.56554263565892,185.4917676897085,140.4917676897085,289.64173848494625,660.1580375556276,0.6589147286821705,tdecay_cell
short,1,tdec_ge70,e2526,141,59,-160.18023291926417,-99.42853262411349,-304.6087655433776,-349.6087655433777,443.0905860516833,236.13524032382898,0.5460992907801419,tdecay_cell
short,1,tdec_ge70,pre2025,257,116,324.2480394699015,-5.763732295719849,273.4843071741817,228.4843071741817,230.41274751537958,726.5704335997092,0.6926070038910506,tdecay_cell
short,1,tdec_ge70,post2025,141,59,-160.18023291926417,-99.42853262411349,-304.6087655433776,-349.6087655433777,433.3018935601865,236.13524032382898,0.5460992907801419,tdecay_cell
short,2,tdec_lt30,pooled,239,130,474.96116436860274,-55.632656903765685,374.328507464837,329.32850746483695,139.95366856186024,546.5000619901309,0.6401673640167364,tdecay_cell
short,2,tdec_lt30,e2122,9,9,369.3519754770399,-76.87633333333333,247.47564214370647,202.47564214370647,480.127869476245,-289.61032332757395,0.4444444444444444,tdecay_cell
short,2,tdec_lt30,e2324,114,61,289.75909790045864,1.1288640350877184,245.88796193554637,200.88796193554634,173.7219548603191,308.27547293774956,0.5964912280701754,tdecay_cell
short,2,tdec_lt30,e2526,116,60,665.1639081392275,-109.7673146551724,510.3965934840551,465.3965934840552,250.03536158609225,747.6528365780258,0.6982758620689655,tdecay_cell
short,2,tdec_lt30,pre2025,123,70,295.582966991428,-4.5788333333333355,246.00413365809464,201.00413365809467,169.45053130713805,304.29980295411707,0.5853658536585366,tdecay_cell
short,2,tdec_lt30,post2025,116,60,665.1639081392275,-109.7673146551724,510.3965934840551,465.3965934840552,241.0454063552709,747.6528365780258,0.6982758620689655,tdecay_cell
short,2,tdec_30_70,pooled,301,155,-236.04057768189878,-42.362093687707635,-323.4026713696066,-368.4026713696064,461.178566664152,546.5545871689669,0.6445182724252492,tdecay_cell
short,2,tdec_30_70,e2122,41,26,-284.37134920900996,-44.40771707317074,-373.7790662821806,-418.77906628218074,353.41713900385554,92.29086300703092,0.5121951219512195,tdecay_cell
short,2,tdec_30_70,e2324,118,66,413.06528779909553,3.776560169491523,371.84184796858705,326.8418479685871,326.56729417751626,801.9696151186367,0.6864406779661016,tdecay_cell
