surface,member,era,trades_kept,trades_removed,trades_downweighted,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,tp_rate,mean_mae,share_mae_below_10pct,removed_gross_forgone,removed_funding_saved,removed_cost_saved,removed_net_delta,es95_daily,es99_daily,registered_tail_days_in_window,registered_tail_negative_days,registered_tail_sum_return,native_tail_days,native_tail_sum_return,native_tail_worst
barebones,linear10_ramp,late,8533,4228,3528,-0.13788861022293133,0.030173311686819183,-0.1647895273091656,-0.003272394600584999,-0.29054161754167196,-0.03945902091344896,2024-03-01,-0.16159452739122387,0.16606117426461972,-0.08715151057783367,0.27165123637642097,0.09575200147360362,0.08761173483431356,0.14636101549421748,0.1382207488549274,-0.01844222995314209,-0.03082884458227624,98,52,-0.14810781221475153,80,-0.8405045486184609,-0.03945902091344896
render_gate_off,baseline_ungated,full,4019,0,0,0.5155368458518286,0.9620090585594596,-0.12834765492630795,-0.31812455778132304,-0.2095808531118184,-0.05578745373237505,2025-04-20,1.2827490566106707,0.29883055486439414,-0.11590288172478906,0.3326698183627768,0.0,-0.0,-0.0,-0.0,-0.015940737587992287,-0.031556916276982254,93,30,0.0072854717672396875,44,-0.8063039358297563,-0.05578745373237505
render_gate_off,baseline_ungated,early,1497,0,0,0.23732860797571842,0.3321583541737018,-0.055871564033857145,-0.03895818216412624,-0.08175564510091782,-0.030353160836203576,2023-12-23,1.58536144272357,0.1629926519706079,-0.08504465710541304,0.280561122244489,0.0,-0.0,-0.0,-0.0,-0.011115562658808241,-0.022382813267003265,92,29,0.007964367398086779,12,-0.1931976651634046,-0.030353160836203576
render_gate_off,baseline_ungated,late,2522,0,0,0.27820823787611015,0.6298507043857579,-0.07247609089245083,-0.27916637561719687,-0.2095808531118185,-0.05578745373237505,2025-04-20,1.1031254475658612,0.37946074544012687,-0.13421959951035844,0.3636003172085646,0.0,-0.0,-0.0,-0.0,-0.020086118604352943,-0.03939466073268596,1,1,-0.0006788956308470914,32,-0.6131062706663517,-0.05578745373237505
render_gate_off,binary,full,2277,1742,0,0.5373609786679503,0.7164893782280376,-0.07463447440349957,-0.10449392515658766,-0.0426165254979638,-0.030353160836203576,2023-12-23,2.359951597136365,0.2810715854194115,-0.10662529911575207,0.3254281949934124,0.24551968033142205,0.2136161051247354,0.05371318052280838,0.02180960531612175,-0.008987423084327345,-0.016806525412694766,93,16,0.03482057888316901,44,-0.2592000722641397,-0.030353160836203576
render_gate_off,binary,early,1032,465,0,0.2043901496911136,0.25911012660929394,-0.03745126843235185,-0.017268708485828514,-0.0426165254979638,-0.030353160836203576,2023-12-23,1.9805247063092404,0.17151162790697674,-0.09020630825649793,0.29069767441860467,0.07304822756440779,0.021689473678297735,0.01842029560150529,-0.03293845828460473,-0.00844354187829111,-0.01824981738590157,92,15,0.0354994745140161,12,-0.11192949179625654,-0.030353160836203576
render_gate_off,binary,late,1245,1277,0,0.3329708289768368,0.45737925161874365,-0.037183205971147736,-0.08722521667075915,-0.033350309041637605,-0.02175326065432822,2025-09-18,2.6744644897737895,0.3718875502008032,-0.12023525780390491,0.3542168674698795,0.17247145276701434,0.19192663144643765,0.03529288492130309,0.054748063600726704,-0.009579334202461967,-0.01601890760572493,1,1,-0.0006788956308470914,32,-0.1472705804678832,-0.02175326065432822
render_gate_off,binary_discrete35,full,2277,1742,3,0.5367396393675017,0.7158277075881556,-0.07458704456834235,-0.1045010236523117,-0.0426165254979638,-0.030353160836203576,2023-12-23,2.357222834288545,0.2810715854194115,-0.10662529911575207,0.3254281949934124,0.24618135097130395,0.21360900662901136,0.05376061035796561,0.02118826601567303,-0.008993857061520978,-0.016806525412694766,93,16,0.03482057888316901,44,-0.2592000722641397,-0.030353160836203576
render_gate_off,binary_discrete35,early,1032,465,3,0.20376881039066488,0.258448455969412,-0.03740383859719462,-0.017275806981552552,-0.0426165254979638,-0.030353160836203576,2023-12-23,1.9745039766537296,0.17151162790697674,-0.09020630825649793,0.29069767441860467,0.07370989820428969,0.021682375182573693,0.01846772543666252,-0.03355979758505345,-0.008465091540896787,-0.01824981738590157,92,15,0.0354994745140161,12,-0.11192949179625654,-0.030353160836203576
render_gate_off,binary_discrete35,late,1245,1277,0,0.3329708289768368,0.45737925161874365,-0.037183205971147736,-0.08722521667075915,-0.033350309041637605,-0.02175326065432822,2025-09-18,2.6744644897737895,0.3718875502008032,-0.12023525780390491,0.3542168674698795,0.17247145276701434,0.19192663144643765,0.03529288492130309,0.054748063600726704,-0.009579334202461967,-0.01601890760572493,1,1,-0.0006788956308470914,32,-0.1472705804678832,-0.02175326065432822
render_gate_off,binary_ramp,full,2277,1742,3,0.5371479323327379,0.7162625029847643,-0.07461821154590684,-0.10449635910611965,-0.0426165254979638,-0.030353160836203576,2023-12-23,2.359015952273772,0.2810715854194115,-0.10662529911575207,0.3254281949934124,0.2457465555746952,0.2136136711752034,0.05372944338040113,0.02159655898090934,-0.008987423084327345,-0.016806525412694766,93,16,0.03482057888316901,44,-0.2592000722641397,-0.030353160836203576
render_gate_off,binary_ramp,early,1032,465,3,0.2041771033559012,0.2588832513660208,-0.0374350055747591,-0.017271142435360494,-0.0426165254979638,-0.030353160836203576,2023-12-23,1.978460303836252,0.17151162790697674,-0.09020630825649793,0.29069767441860467,0.07327510280768096,0.02168703972876575,0.01843655845909804,-0.03315150461981714,-0.00844354187829111,-0.01824981738590157,92,15,0.0354994745140161,12,-0.11192949179625654,-0.030353160836203576
render_gate_off,binary_ramp,late,1245,1277,0,0.3329708289768368,0.45737925161874365,-0.037183205971147736,-0.08722521667075915,-0.033350309041637605,-0.02175326065432822,2025-09-18,2.6744644897737895,0.3718875502008032,-0.12023525780390491,0.3542168674698795,0.17247145276701434,0.19192663144643765,0.03529288492130309,0.054748063600726704,-0.009579334202461967,-0.01601890760572493,1,1,-0.0006788956308470914,32,-0.1472705804678832,-0.02175326065432822
render_gate_off,linear10,full,2277,1742,1179,0.4144272077628507,0.5249273126647258,-0.05355119403428547,-0.05694891086758967,-0.04333121426040676,-0.030353160836203576,2023-12-23,1.820058005106942,0.2810715854194115,-0.10662529911575207,0.3254281949934124,0.4370817458947338,0.26116111941373343,0.07479646089202249,-0.10112416558897785,-0.00689650303128618,-0.013630769829312038,93,16,0.04068527990853896,44,-0.17327335027587917,-0.030353160836203576
render_gate_off,linear10,early,1032,465,368,0.19077920449368738,0.232004789930727,-0.030531811933039436,-0.010693773504000161,-0.04333121426040676,-0.030353160836203576,2023-12-23,1.848635702458211,0.17151162790697674,-0.09020630825649793,0.29069767441860467,0.10015356424297478,0.028264408660126087,0.0253397521008177,-0.04654940348203103,-0.007183543486515037,-0.0162744067022825,92,15,0.041364175539386046,12,-0.09108805095237185,-0.030353160836203576
render_gate_off,linear10,late,1245,1277,811,0.22364800326916331,0.2929225227339988,-0.023019382101246037,-0.04625513736358951,-0.04266780626281086,-0.01611140770632431,2025-04-29,1.7963695041699865,0.3718875502008032,-0.12023525780390491,0.3542168674698795,0.33692818165175925,0.23289671075360732,0.04945670879120479,-0.05457476210694673,-0.006734904291388817,-0.01194407364782181,1,1,-0.0006788956308470914,32,-0.08218529932350728,-0.01611140770632431
render_gate_off,linear10_discrete35,full,2277,1742,1179,0.4140476220632486,0.5245230879318554,-0.05352221842120713,-0.05695324744739975,-0.04333121426040676,-0.030353160836203576,2023-12-23,1.8183909620696028,0.2810715854194115,-0.10662529911575207,0.3254281949934124,0.43748597062760414,0.26115678283392335,0.07482543650510083,-0.10150375128857997,-0.006907123936951333,-0.013630769829312038,93,16,0.04068527990853896,44,-0.17327335027587917,-0.030353160836203576
render_gate_off,linear10_discrete35,early,1032,465,368,0.19039961879408526,0.23160056519785663,-0.03050283631996109,-0.010698110083810237,-0.04333121426040676,-0.030353160836203576,2023-12-23,1.8449575464543146,0.17151162790697674,-0.09020630825649793,0.29069767441860467,0.10055778897584516,0.02826007208031601,0.025368727713896047,-0.04692898918163314,-0.007205151535971729,-0.0162744067022825,92,15,0.041364175539386046,12,-0.09108805095237185,-0.030353160836203576
render_gate_off,linear10_discrete35,late,1245,1277,811,0.22364800326916331,0.2929225227339988,-0.023019382101246037,-0.04625513736358951,-0.04266780626281086,-0.01611140770632431,2025-04-29,1.7963695041699865,0.3718875502008032,-0.12023525780390491,0.3542168674698795,0.33692818165175925,0.23289671075360732,0.04945670879120479,-0.05457476210694673,-0.006734904291388817,-0.01194407364782181,1,1,-0.0006788956308470914,32,-0.08218529932350728,-0.01611140770632431
render_gate_off,linear10_ramp,full,2277,1742,1179,0.41429705449210014,0.5247887111021367,-0.053541258805381686,-0.056950397804654856,-0.04333121426040676,-0.030353160836203576,2023-12-23,1.819486405323233,0.2810715854194115,-0.10662529911575207,0.3254281949934124,0.43722034745732297,0.26115963247666824,0.07480639612092628,-0.10125431885972841,-0.006900144753332353,-0.013630769829312038,93,16,0.04068527990853896,44,-0.17327335027587917,-0.030353160836203576
render_gate_off,linear10_ramp,early,1032,465,368,0.19064905122293682,0.23186618836813785,-0.030521876704135652,-0.010695260441065346,-0.04333121426040676,-0.030353160836203576,2023-12-23,1.847374527354039,0.17151162790697674,-0.09020630825649793,0.29069767441860467,0.10029216580556394,0.028262921723060903,0.025349687329721482,-0.0466795567527816,-0.007190952507229665,-0.0162744067022825,92,15,0.041364175539386046,12,-0.09108805095237185,-0.030353160836203576
render_gate_off,linear10_ramp,late,1245,1277,811,0.22364800326916331,0.2929225227339988,-0.023019382101246037,-0.04625513736358951,-0.04266780626281086,-0.01611140770632431,2025-04-29,1.7963695041699865,0.3718875502008032,-0.12023525780390491,0.3542168674698795,0.33692818165175925,0.23289671075360732,0.04945670879120479,-0.05457476210694673,-0.006734904291388817,-0.01194407364782181,1,1,-0.0006788956308470914,32,-0.08218529932350728,-0.01611140770632431
render_gate_on_asis,baseline_ungated,full,2300,0,0,0.5401655290511982,0.723056732943825,-0.07524761301206773,-0.10764359088055908,-0.0426165254979638,-0.030353160836203576,2023-12-23,2.3485457784834702,0.28,-0.10707888773646876,0.32608695652173914,0.0,-0.0,-0.0,-0.0,-0.00900603319641709,-0.016806525412694766,93,16,0.03482057888316901,18,-0.2587547663597478,-0.030353160836203576
render_gate_on_asis,baseline_ungated,early,1036,0,0,0.20119921765513646,0.2559987366449,-0.03754449881844337,-0.01725502017132024,-0.0426165254979638,-0.030353160836203576,2023-12-23,1.942077390493595,0.17084942084942084,-0.09024549490926535,0.2905405405405405,0.0,-0.0,-0.0,-0.0,-0.008489863677409566,-0.01824981738590157,92,15,0.0354994745140161,7,-0.11192949179625654,-0.030353160836203576
render_gate_on_asis,baseline_ungated,late,1264,0,0,0.3389663113960618,0.467057996298925,-0.03770311419362435,-0.09038857070923886,-0.03451555271931939,-0.02175326065432822,2025-09-18,2.681695501551122,0.3694620253164557,-0.12087587742711965,0.3552215189873418,0.0,-0.0,-0.0,-0.0,-0.009579334202461967,-0.01601890760572493,1,1,-0.0006788956308470914,11,-0.1468252745634913,-0.02175326065432822
