axis,rule,arm_pct,retain_frac,era,trades,unchanged,adaptive_exits,forfeited_tp_n,forfeited_tp_net_delta,captured_n,captured_net_delta,net_return,gross_return,cost_return,funding_return,max_drawdown,worst_day_return,worst_day,per_trade_net_bps,tp_rate,mean_mae,p10_mae,baseline_mean_mae,changed_partial_funding
te_skip_h6,baseline,,,late,2693,2693,0,0,0.0,0,0.0,-0.01573296853589546,0.1095116700921,-0.059682717327995474,-0.06556192129999999,-0.10444387631757146,-0.0198133751094292,2024-08-23,-0.058421717548813444,0.23059784626810248,-0.11237881109986374,-0.26589364254298276,-0.11237881109986371,0
te_skip_h6,giveback,0.04,0.5,full,3635,1804,1831,364,-0.37236930628581055,1467,0.2723519546201903,-0.04196344333146494,0.10122770367419034,-0.08154316600565528,-0.061647981000000004,-0.07957778366275736,-0.017274323308151186,2024-08-23,-0.11544276019660231,0.1188445667125172,-0.08360885756966835,-0.20729323308270678,-0.10961505170057019,0
te_skip_h6,giveback,0.04,0.5,early,942,466,476,82,-0.08403558919825418,394,0.027706599213150405,0.017746560546949165,0.05709291472460898,-0.02186044867765981,-0.017485905500000003,-0.029914346422126425,-0.007141309670903772,2022-07-28,0.18839236249415248,0.09872611464968153,-0.07862759519120387,-0.19087078651685396,-0.10171398581702727,0
te_skip_h6,giveback,0.04,0.5,late,2693,1338,1355,282,-0.28833371708755634,1073,0.2446453554070399,-0.0597100038784141,0.044134788949581366,-0.059682717327995474,-0.0441620755,-0.07688977523976148,-0.017274323308151186,2024-08-23,-0.22172299991984443,0.12588191607872262,-0.08535128206298939,-0.21617581930912322,-0.11237881109986371,0
te_skip_h6,giveback,0.04,0.7,full,3635,1405,2230,530,-0.46223361679637287,1700,0.3560527859038473,-0.04812692255837035,0.09284139174728494,-0.08154316600565528,-0.0594251483,-0.08593217992272839,-0.01700177049855959,2024-08-23,-0.13239868654297207,0.07317744154057772,-0.08283818999685828,-0.20689655172413787,-0.10961505170057019,0
te_skip_h6,giveback,0.04,0.7,early,942,363,579,115,-0.10221711363168137,464,0.0467741889974814,0.018348815983560078,0.05710789056121989,-0.02186044867765981,-0.016898625900000002,-0.030482991906114032,-0.00738836001931731,2022-07-28,0.19478573230955498,0.06369426751592357,-0.07786319316939641,-0.19087078651685396,-0.10171398581702727,0
te_skip_h6,giveback,0.04,0.7,late,2693,1042,1651,415,-0.3600165031646916,1236,0.30927859690636594,-0.06647573854193042,0.035733501186065046,-0.059682717327995474,-0.0425265224,-0.08335250617016854,-0.01700177049855959,2024-08-23,-0.24684641122142748,0.07649461567025621,-0.08457842282696194,-0.21544772952327063,-0.11237881109986371,0
te_skip_h6,giveback,0.06,0.5,full,3635,2525,1110,237,-0.22451793946634405,873,0.16086301478962772,-0.005601016342561035,0.14903296756309428,-0.08154316600565528,-0.0730908179,-0.07292289540748853,-0.01993701955098122,2024-08-23,-0.015408573156976713,0.15378266850068775,-0.09615755329359409,-0.23497091144149973,-0.10961505170057019,0
te_skip_h6,giveback,0.06,0.5,early,942,651,291,52,-0.047033218489102066,239,0.015102292494877241,0.042144624537828156,0.08540597611548795,-0.02186044867765981,-0.0214009029,-0.026634359802465868,-0.00652306306694716,2022-02-07,0.4473951649450972,0.1305732484076433,-0.08987883709024755,-0.20596590909090917,-0.10171398581702727,0
te_skip_h6,giveback,0.06,0.5,late,2693,1874,819,185,-0.177484720977242,634,0.14576072229475054,-0.04774564088038916,0.0636269914476063,-0.059682717327995474,-0.051689914999999996,-0.07292289540748853,-0.01993701955098122,2024-08-23,-0.17729536160560402,0.16190122539918306,-0.09835382164248099,-0.24870466321243523,-0.11237881109986371,0
te_skip_h6,giveback,0.06,0.7,full,3635,2128,1507,418,-0.3123621786010284,1089,0.2421112659506141,-0.01219700431625901,0.1403808995893963,-0.08154316600565528,-0.0710347379,-0.08554592056585886,-0.01993701955098122,2024-08-23,-0.033554344748993145,0.10398899587345255,-0.09568742889563227,-0.2333132892363201,-0.10961505170057019,0
te_skip_h6,giveback,0.06,0.7,early,942,548,394,90,-0.06572150324894077,304,0.03766143614479893,0.045731673513618204,0.08845915729127801,-0.02186044867765981,-0.0208670351,-0.02708589632386893,-0.00652306306694716,2022-02-07,0.48547424112121235,0.09023354564755838,-0.08940771042913448,-0.20596590909090917,-0.10171398581702727,0
te_skip_h6,giveback,0.06,0.7,late,2693,1580,1113,328,-0.2466406753520876,785,0.20444982980581516,-0.057928677829877206,0.051921742298118266,-0.059682717327995474,-0.0501677028,-0.08554592056585875,-0.01993701955098122,2024-08-23,-0.21510834693604608,0.10880059413293725,-0.09788404783192671,-0.2480521139353684,-0.11237881109986371,0
te_skip_h6,giveback,0.08,0.5,full,3635,3038,597,140,-0.12132585915994695,457,0.10437011626468684,0.04109816543889516,0.20359904164455045,-0.08154316600565528,-0.0809577102,-0.09552785760259397,-0.0198133751094292,2024-08-23,0.11306235333946399,0.18046767537826686,-0.10354576166500178,-0.24931862426995477,-0.10961505170057019,0
te_skip_h6,giveback,0.08,0.5,early,942,781,161,30,-0.02383362953919081,131,0.019460938271358575,0.06965274679853206,0.11465425377619187,-0.02186044867765981,-0.023141058300000003,-0.028002240360351704,-0.00652306306694716,2022-02-07,0.7394134479674317,0.15392781316348195,-0.09651615028093387,-0.22171740118128125,-0.10171398581702727,0
te_skip_h6,giveback,0.08,0.5,late,2693,2257,436,110,-0.0974922296207562,326,0.08490917799332828,-0.0285545813596369,0.08894478786835858,-0.059682717327995474,-0.057816651899999995,-0.09552785760259386,-0.0198133751094292,2024-08-23,-0.10603260809371295,0.18975120683252877,-0.10600468996941771,-0.2575223319228961,-0.11237881109986371,0
te_skip_h6,giveback,0.08,0.7,full,3635,2749,886,281,-0.18069389504598932,605,0.1682539053366606,0.0456139186248265,0.20668554063048183,-0.08154316600565528,-0.079528456,-0.09141711877917769,-0.0198133751094292,2024-08-23,0.12548533321822972,0.14167812929848694,-0.1031560769838523,-0.2490001738828031,-0.10961505170057019,0
