symbol,d0,era,pump01,crowd7d,d0_bars,funding_events_d0_d7
FIGHTUSDT,2026-01-24,e2526,0.15990593768371553,5,24,48
FIOUSDT,2024-09-21,e2324,-0.22042285200179934,6,24,48
FISUSDT,2025-04-26,e2526,0.38369603107414973,4,24,48
FLNCUSDT,2026-05-19,e2526,-0.02650356778797147,17,24,0
FLOCKUSDT,2025-09-10,e2526,-0.14306676449009537,6,24,48
FLOWUSDT,2022-02-10,e2122,-0.13199513381995143,0,21,24
FLUIDUSDT,2025-09-25,e2526,-0.07587882252072031,5,24,48
FLUXUSDT,2024-09-04,e2324,-0.10738365400427563,2,24,48
FOGOUSDT,2026-01-11,e2526,-0.07712478790683319,2,24,48
FOLKSUSDT,2025-11-07,e2526,0.5371679259078725,5,24,48
FOOTBALLUSDT,2022-09-01,e2122,0.1555123339658444,1,21,24
FORMUSDT,2025-03-20,e2526,0.0520725686071879,3,24,48
FORTHUSDT,2025-04-09,e2526,-0.09854604200323103,2,24,48
FRAXUSDT,2026-01-16,e2526,-0.12486625294243525,2,24,48
FRONTUSDT,2023-09-23,e2324,0.009976247030878849,2,24,24
FTTUSDT,2022-04-15,e2122,-0.02768085601302639,0,21,24
FUNUSDT,2025-04-01,e2526,-0.18692178301093343,6,24,68
FUSDT,2025-06-19,e2526,-0.057300509337860794,3,24,48
FXSUSDT,2023-01-20,e2324,0.00558878321404066,1,21,23
GALAUSDT,2021-09-18,e2122,-0.03063919704173268,1,21,24
GALUSDT,2022-05-06,e2122,-0.403650823794808,0,24,24
GASUSDT,2023-10-25,e2324,-0.08707692307692305,5,22,48
GENIUSUSDT,2026-04-16,e2526,0.125,0,21,47
GHSTUSDT,2024-09-24,e2324,-0.05505415162454885,4,24,48
GIGGLEUSDT,2025-10-10,e2526,0.48504418762746404,4,24,48
GLMRUSDT,2023-09-26,e2324,0.07106598984771573,2,23,24
GLMUSDT,2024-02-23,e2324,-0.03962008141112616,3,24,48
GLWUSDT,2026-06-12,e2526,-0.0014407624958440168,24,24,24
GMEUSDT,2026-06-11,e2526,-0.02813756141134427,20,24,21
GMTUSDT,2022-03-15,e2122,0.7220291653738755,0,20,24
GMXUSDT,2023-02-18,e2324,-0.05582583313062517,3,24,24
GOATUSDT,2024-10-25,e2324,0.08294374905745738,2,24,48
GOOGLUSDT,2026-03-27,e2526,-0.03265841636821387,5,24,24
GPSUSDT,2025-02-18,e2526,-0.01224489795918371,5,24,48
GRASSUSDT,2024-11-09,e2324,-0.07680305683808297,6,24,48
GRIFFAINUSDT,2025-01-03,e2526,0.015703385677952264,4,24,48
GTCUSDT,2021-06-11,e2122,-0.2657241966097258,0,21,23
GUAUSDT,2025-12-22,e2526,-0.08395629672225413,2,24,48
GUNUSDT,2025-04-01,e2526,-0.31653746770025837,6,24,48
GUSDT,2024-08-16,e2324,0.18751674256630047,2,24,48
GWEIUSDT,2026-01-30,e2526,-0.06760550726590753,4,24,48
HAEDALUSDT,2025-05-01,e2526,0.8417358490566038,7,21,48
HANAUSDT,2025-09-27,e2526,-0.004987129987129912,6,24,48
