symbol,sign,threshold,persistence,entry,era,age_cell,week_block,hold_h,n_alt_settlements_hold,gross_alt,alt_funding,gross_btc,btc_funding,net_unhedged,net_hedged,capped
0GUSDT,-1,0.0015,2,2025-10-12,e2526,age_lt30,105648,1.0,1,0.0010065645514223398,0.00029332,-0.0028183386168114666,0.0,-0.0032001154485776597,-0.010518454065389126,false
0GUSDT,-1,0.0015,1,2025-10-13,e2526,age_lt30,105648,4.0,4,-0.03205296851705697,0.00184621,0.0010121096350574899,0.0,-0.034706758517056964,-0.03819464888199948,false
0GUSDT,-1,0.0015,2,2025-10-13,e2526,age_lt30,105648,3.0,3,-0.012039026136770437,0.00094626,0.0038261575884013244,0.0,-0.015592766136770436,-0.01626660854836911,false
0GUSDT,-1,0.0015,1,2025-10-13,e2526,age_lt30,105648,2.0,2,0.02538341853745285,-0.000025,-0.004416887947084502,0.0,0.02085841853745285,0.011941530590368349,false
0GUSDT,-1,0.0015,2,2025-10-13,e2526,age_lt30,105648,1.0,1,0.0215234720992028,-0.0000125,-0.0053005646196695455,0.0,0.0170109720992028,0.007210407479533257,false
0GUSDT,-1,0.0015,1,2025-10-13,e2526,age_lt30,105648,1.0,1,-0.007612127503135557,-0.0000125,0.0026627177797243773,0.0,-0.012124627503135556,-0.01396190972341118,false
0GUSDT,-1,0.0015,1,2025-10-13,e2526,age_lt30,105648,1.0,1,0.007459807073954883,-0.0000125,0.0018146780567468435,0.0,0.0029473070739548827,0.0002619851307017265,false
0GUSDT,-1,0.0015,1,2025-10-14,e2526,age_lt30,105648,3.0,3,-0.06300302899177845,0.00021647,0.012021125894439488,-0.00002259,-0.06728655899177846,-0.05978802309733897,false
0GUSDT,-1,0.0015,2,2025-10-14,e2526,age_lt30,105648,2.0,2,-0.05267302476157143,-0.000025,0.006815191954124167,-0.00002259,-0.057198024761571424,-0.054905422807447264,false
0GUSDT,-1,0.0015,1,2025-10-14,e2526,age_lt30,105648,1.0,1,-0.012966564786514811,-0.0000125,-0.0062366414216106225,0.0,-0.01747906478651481,-0.028215706208125434,false
0GUSDT,-1,0.0015,1,2025-10-15,e2526,age_lt30,105648,1.0,1,-0.023870262390670582,1.27e-6,-0.0006936980338692056,0.0,-0.028368992390670582,-0.033562690424539784,false
0GUSDT,-1,0.0015,1,2025-10-15,e2526,age_lt30,105648,4.0,4,0.0002352277004140646,0.00135397,0.010667557932263816,0.0,-0.002910802299585935,0.0032567556326778806,false
0GUSDT,-1,0.0015,2,2025-10-15,e2526,age_lt30,105648,3.0,3,0.008394991462720602,0.00087248,0.0074821240004684375,0.0,0.004767471462720603,0.007749595463189042,false
0GUSDT,-1,0.0015,1,2025-10-15,e2526,age_lt30,105648,1.0,1,-0.01839370963212572,-0.0000125,0.0005200996857731566,0.0,-0.02290620963212572,-0.026886109946352564,false
0GUSDT,-1,0.0015,1,2025-10-16,e2526,age_lt30,105648,2.0,2,0.02210162802170701,-0.000025,-0.006377782165470691,0.0,0.017576628021707008,0.006698845856236318,false
0GUSDT,-1,0.0015,2,2025-10-16,e2526,age_lt30,105648,1.0,1,0.012708964708182835,-0.0000125,-0.0067081590080799725,0.0,0.008196464708182836,-0.003011694299897137,false
0GUSDT,-1,0.0015,1,2025-10-16,e2526,age_lt30,105648,1.0,1,-0.008204193254329972,-0.0000125,-0.005508039399598763,0.0,-0.012716693254329971,-0.022724732653928735,false
0GUSDT,-1,0.0015,1,2025-10-17,e2526,age_lt30,105648,1.0,1,0.014709184819222898,-0.0000125,0.003443509747231177,0.0,0.010196684819222899,0.009140194566454077,false
0GUSDT,-1,0.0015,1,2025-10-18,e2526,age_30_240,105648,2.0,2,0.004658634538152739,0.00014066,-0.003532406706968194,0.0,0.0002992945381527397,-0.007733112168815454,false
0GUSDT,-1,0.0015,2,2025-10-18,e2526,age_30_240,105648,1.0,1,0.0039060409866766843,0.00015316,-0.0003203555009350101,0.0,-0.00044079901332331507,-0.005261154514258325,false
0GUSDT,-1,0.0015,1,2025-10-18,e2526,age_30_240,105648,1.0,1,0.00411144170949429,-3.7e-7,-0.0012999142749119397,0.0,-0.00038892829050570996,-0.006188842565417649,false
0GUSDT,-1,0.0015,1,2025-10-18,e2526,age_30_240,105648,1.0,1,0.01764057331863289,-0.0000125,-0.0020757805281843567,0.0,0.013128073318632891,0.006552292790448536,false
0GUSDT,-1,0.0015,1,2025-10-19,e2526,age_30_240,105649,2.0,2,-0.005086071987480345,-0.000025,0.000429576179579616,0.0,-0.009611071987480345,-0.013681495807900727,false
0GUSDT,-1,0.0015,2,2025-10-19,e2526,age_30_240,105649,1.0,1,-0.009349435138293671,-0.0000125,0.0012325198203774201,0.0,-0.01386193513829367,-0.01712941531791625,false
0GUSDT,-1,0.0015,1,2025-10-20,e2526,age_30_240,105649,1.0,1,0.007749399694389814,-0.0000125,-0.002300080813650185,0.0,0.0032368996943898136,-0.003563181119260371,false
0GUSDT,-1,0.0015,1,2025-10-20,e2526,age_30_240,105649,2.0,2,0.0037280588204835485,0.00008502999999999999,0.002794083350666887,0.0,-0.0006869111795164513,-0.002392827828849564,false
0GUSDT,-1,0.0015,2,2025-10-20,e2526,age_30_240,105649,1.0,1,0.012747505354997024,-0.0000125,-0.002057575933057443,0.0,0.008235005354997025,0.0016774294219395816,false
0GUSDT,-1,0.0015,1,2025-10-21,e2526,age_30_240,105649,48.0,48,-0.13395212506106502,0.056045489999999996,0.015496802839653934,0.00028488,-0.08240663506106502,-0.07112495222141108,false
0GUSDT,-1,0.0015,2,2025-10-21,e2526,age_30_240,105649,47.0,47,-0.14137647115803764,0.05454959,0.01240314892730765,0.00028488,-0.09132688115803764,-0.08313885223072998,false
0GUSDT,-1,0.0015,1,2025-10-23,e2526,age_30_240,105649,2.0,2,-0.013790429774036439,0.00011214,-0.0014610995964581264,0.0,-0.01817828977403644,-0.024139389370494563,false
0GUSDT,-1,0.0015,2,2025-10-23,e2526,age_30_240,105649,1.0,1,-0.007247588782962611,0.00012464,0.0006294462061021688,0.0,-0.01162294878296261,-0.01549350257686044,false
