threshold,sign,persistence,era,n_trades,mean_gross_alt_bp,mean_alt_funding_bp,mean_gross_btc_bp,mean_btc_funding_bp,mean_net_unhedged_bp,mean_net_hedged_bp,mean_hold_h,n_weeks,capped_share,se_net_hedged_bp_wk,se_net_unhedged_bp_wk,median_net_hedged_bp,win_rate_hedged
0.005,1,2,e2324,37,54.35620846046171,60.40187027027028,-10.144185198331034,-2.0775216216216217,69.758078730732,12.536371910779263,6.837837837837838,13,0.0,165.70466640313418,179.60894200292773,-104.99279280225055,0.2702702702702703
0.005,1,2,e2526,358,69.98792749561755,23.645780726256984,-6.828693988222465,-0.10363044692737432,48.63370822187456,-3.298616213275324,3.3184357541899443,50,0.0,69.20276432403084,68.64167980357044,-61.93246451363423,0.4273743016759777
0.005,1,2,pre2025,178,33.585724957275225,17.30530505617977,2.607063630227436,-0.38986067415730336,5.891030013455002,-36.89176703047485,2.848314606741573,45,0.0,33.879815027059685,37.36016160079643,-78.98634820052565,0.2696629213483146
0.005,1,2,post2025,358,69.98792749561755,23.645780726256984,-6.828693988222465,-0.10363044692737432,48.63370822187456,-3.298616213275324,3.3184357541899443,50,0.0,68.24591180175727,69.10515514439555,-61.93246451363423,0.4273743016759777
0.005,-1,1,pooled,13362,-63.14690300511675,88.8876867459961,0.48825349714124594,0.24660258943271965,-19.25921625912064,-63.524360172546665,6.319937135159408,238,0.0,18.124189388648293,18.765671220630967,-117.49466750769946,0.2780272414309235
0.005,-1,1,e2122,1305,-80.7900423409824,62.69001103448276,9.72287808494094,-0.05130896551724138,-63.10003130649963,-98.42846218707592,6.4735632183908045,58,0.0,14.96672416319497,17.171057117775764,-100.16444665967742,0.2260536398467433
0.005,-1,1,e2324,939,-51.98070457440461,142.5813781682641,-28.71318088191179,1.3159584664536743,45.6006735938595,-26.796548821598613,14.109691160809371,101,0.0,41.355943517970296,40.263287654737965,-159.50699117487915,0.36741214057507987
0.005,-1,1,e2526,11118,-62.01907097535726,87.42785499190501,1.8706030019849413,0.1912553516819572,-19.59121598345224,-62.52935762978534,5.644000719553876,80,0.0,20.94018662557038,22.003371428540213,-120.12644473451275,0.2765785213167836
0.005,-1,1,pre2025,2244,-68.73479806165238,96.12048952762923,-6.360659958675245,0.5208229946524066,-17.614308534023145,-68.45414549804597,9.668894830659536,159,0.0,19.962199879686327,20.51739312384384,-107.46945216577032,0.28520499108734404
0.005,-1,1,post2025,11118,-62.01907097535726,87.42785499190501,1.8706030019849413,0.1912553516819572,-19.59121598345224,-62.52935762978534,5.644000719553876,80,0.0,21.325686801095827,21.4750531019469,-120.12644473451275,0.2765785213167836
0.005,-1,2,pooled,6004,-87.09279935799849,145.24028882411727,-1.4209209995940004,0.2991058794137242,13.14748946611875,-32.97432565406151,7.886242504996669,219,0.0,43.668057626561,43.401120180188265,-126.9734186917683,0.29480346435709526
0.005,-1,2,e2122,550,-98.10640414267588,105.13224345454547,10.663509368185904,-0.11749290909090908,-37.97416068813041,-72.42814422903541,8.692727272727273,54,0.0,29.496154888591462,30.96407451500117,-89.8416388379741,0.28
0.005,-1,2,e2324,377,-45.08625099923881,223.4348236074271,-31.710560807778403,1.592138461538461,133.34857260818828,58.230150261948346,17.384615384615383,86,0.0,73.42568797064932,72.76142216625976,-179.09705161078028,0.363395225464191
0.005,-1,2,e2526,5077,-89.01893410286354,143.77881262556627,-0.48084664359506923,0.24822072089816824,9.759878522702733,-35.47274739999418,7.093559188497144,80,0.0,51.19224320086107,50.735606070709565,-133.52738055279764,0.2913137679732125
0.005,-1,2,pre2025,927,-76.54373128930393,153.24451175836032,-6.569526722794188,0.5777940668824164,31.70078046905636,-19.2909521868554,12.227615965480043,140,0.0,35.20963599022361,36.19154869634281,-103.19656858822988,0.313915857605178
0.005,-1,2,post2025,5077,-89.01893410286354,143.77881262556627,-0.48084664359506923,0.24822072089816824,9.759878522702733,-35.47274739999418,7.093559188497144,80,0.0,52.934554307582594,49.988117111943176,-133.52738055279764,0.2913137679732125
