symbol,d0,era,week_block,side,entry_day,gross,funding,net45,net90,n_funding_events_hold,pump_cell,tdecay_cell,fund_cell,crowd_cell,btc_cell,pump01,tdecay,fund8h,btc30d
1000SATSUSDT,2023-12-13,e2324,105552,long,1,-0.0645289519014177,-0.00861861,-0.07764756190141771,-0.0821475619014177,35,pump_25_100,tdec_ge70,fund_pos,crowd_01,btc_up,0.37218181818181795,3.479855270652183,0.00088202,0.21016901487668394
1000SATSUSDT,2023-12-13,e2324,105552,short,2,0.032213845099383104,0.00606052,0.03377436509938311,0.029274365099383103,29,pump_25_100,tdec_ge70,fund_pos,crowd_01,btc_up,0.37218181818181795,5.594730636224831,0.00099204,0.10775598116434737
1000SATSUSDT,2023-12-13,e2324,105552,long,2,-0.032213845099383104,-0.00606052,-0.0427743650993831,-0.047274365099383105,29,pump_25_100,tdec_ge70,fund_pos,crowd_01,btc_up,0.37218181818181795,5.594730636224831,0.00099204,0.10775598116434737
1000SHIBUSDT,2021-05-11,e2122,105417,short,1,0.14163137341180349,-0.043485619999999996,0.09364575341180348,0.08914575341180349,18,pump_le0,tdec_ge70,fund_flat,crowd_01,btc_down,-0.47808238840246875,1.9678314173171076,0.00009999999305555606,-0.17217854831101642
1000SHIBUSDT,2021-05-11,e2122,105417,long,1,-0.14163137341180349,0.043485619999999996,-0.10264575341180349,-0.10714575341180348,18,pump_le0,tdec_ge70,fund_flat,crowd_01,btc_down,-0.47808238840246875,1.9678314173171076,0.00009999999305555606,-0.17217854831101642
1000SHIBUSDT,2021-05-11,e2122,105417,short,2,0.2457225712904785,-0.02098562,0.2202369512904785,0.21573695129047848,15,pump_le0,tdec_ge70,fund_neg,crowd_01,btc_down,-0.47808238840246875,1.5928746128049034,-0.007499999348958389,-0.21903964684206723
1000SHIBUSDT,2021-05-11,e2122,105417,long,2,-0.2457225712904785,0.02098562,-0.2292369512904785,-0.2337369512904785,15,pump_le0,tdec_ge70,fund_neg,crowd_01,btc_down,-0.47808238840246875,1.5928746128049034,-0.007499999348958389,-0.21903964684206723
1000WHYUSDT,2024-11-26,e2324,105602,short,1,0.07733990147783253,0.02035052,0.09319042147783252,0.08869042147783253,35,pump_le0,tdec_30_70,fund_pos,crowd_24,btc_up,-0.051401869158878455,0.5413419871344474,0.00187716,0.37124964255075765
1000WHYUSDT,2024-11-26,e2324,105602,long,1,-0.07733990147783253,-0.02035052,-0.10219042147783253,-0.10669042147783252,35,pump_le0,tdec_30_70,fund_pos,crowd_24,btc_up,-0.051401869158878455,0.5413419871344474,0.00187716,0.37124964255075765
1000WHYUSDT,2024-11-26,e2324,105602,short,2,0.00899470899470907,0.01680226,0.021296968994709068,0.016796968994709068,29,pump_le0,tdec_30_70,fund_flat,crowd_24,btc_up,-0.051401869158878455,0.3846583233355414,0.00028844,0.31557681864736487
1000WHYUSDT,2024-11-26,e2324,105602,long,2,-0.00899470899470907,-0.01680226,-0.03029696899470907,-0.03479696899470907,29,pump_le0,tdec_30_70,fund_flat,crowd_24,btc_up,-0.051401869158878455,0.3846583233355414,0.00028844,0.31557681864736487
