side,entry_day,cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45,feature
short,2,fund_flat,e2122,41,33,184.4810006496226,-6.280295121951216,133.20070552767135,88.20070552767147,358.71586355279635,601.4036446408257,0.5609756097560976,fund_cell
short,2,fund_flat,e2324,169,70,-18.381696236457262,3.1331940828402387,-60.24850215361702,-105.24850215361705,231.4568698302001,324.94901801272636,0.6153846153846154,fund_cell
short,2,fund_flat,e2526,236,65,251.84594968204348,-76.1241716101695,130.72177807187398,85.7217780718739,223.92368926034766,466.0851429185732,0.5932203389830508,fund_cell
short,2,fund_flat,pre2025,210,103,21.224830298444093,1.2953223809523815,-22.479847320603554,-67.47984732060365,198.2050743520495,349.24237130170485,0.6047619047619047,fund_cell
short,2,fund_flat,post2025,236,65,251.84594968204348,-76.1241716101695,130.72177807187398,85.7217780718739,224.11884233410356,466.0851429185732,0.5932203389830508,fund_cell
short,2,fund_pos,pooled,79,59,630.2187689009382,87.99580759493671,673.2145764958748,628.2145764958748,252.3932955223089,716.1852020625366,0.6708860759493671,fund_cell
short,2,fund_pos,e2122,5,5,1110.6750337734886,92.20735999999998,1157.8823937734883,1112.882393773488,352.68865577294383,1191.0748385686306,1.0,fund_cell
short,2,fund_pos,e2324,35,25,909.291110180653,85.71641714285715,950.0075273235101,905.0075273235102,262.0031410341096,1028.5638984106065,0.7428571428571429,fund_cell
short,2,fund_pos,e2526,39,29,318.17227482009804,89.50147179487179,362.67374661496973,317.6737466149697,437.32759723560554,91.29555615072043,0.5641025641025641,fund_cell
short,2,fund_pos,pre2025,40,30,934.4641006297572,86.527785,975.9918856297573,930.9918856297575,229.3006156973138,1070.7927572247445,0.775,fund_cell
short,2,fund_pos,post2025,39,29,318.17227482009804,89.50147179487179,362.67374661496973,317.6737466149697,439.7247343314042,91.29555615072043,0.5641025641025641,fund_cell
