side,entry_day,pump_cell,fund_cell,era,n_events,n_weeks,mean_gross_bp,mean_funding_bp,mean_net45_bp,mean_net90_bp,se_net45_bp_wk,median_net45_bp,win_rate_net45
short,2,pump_0_25,fund_neg,pooled,10,9,1086.7032468554653,-216.00347,825.6997768554651,780.6997768554651,244.7617294996601,710.1108678594155,0.8
short,2,pump_0_25,fund_neg,e2122,2,2,1634.1944767134864,-138.4573,1450.7371767134866,1405.7371767134866,573.9786798630831,1450.7371767134866,1.0
short,2,pump_0_25,fund_neg,e2324,5,5,702.1177314583819,-243.80538,413.3123514583818,368.3123514583817,289.4363278481698,510.66479999999956,0.6
short,2,pump_0_25,fund_neg,e2526,3,2,1362.684952611923,-221.36439999999996,1096.320552611923,1051.320552611923,175.47699237902705,770.5092285714277,1.0
short,2,pump_0_25,fund_neg,pre2025,7,7,968.4253729598402,-213.7059285714286,709.7194443884117,664.7194443884116,312.50898936727106,644.4196181328545,0.7142857142857143
short,2,pump_0_25,fund_neg,post2025,3,2,1362.684952611923,-221.36439999999996,1096.320552611923,1051.320552611923,182.5464530223874,770.5092285714277,1.0
long,1,pump_0_25,fund_neg,pooled,21,19,-1186.4637589840543,169.4323238095238,-1062.0314351745303,-1107.0314351745305,522.6208711128575,-1115.317287519301,0.2857142857142857
long,1,pump_0_25,fund_neg,e2122,3,2,-2908.397048513896,160.80223333333333,-2792.594815180563,-2837.5948151805624,922.7646648135614,-2867.715367097968,0.0
long,1,pump_0_25,fund_neg,e2324,9,9,-677.700250140393,216.9982777777778,-505.70197236261515,-550.7019723626153,357.75977250177476,-451.4360196531785,0.3333333333333333
long,1,pump_0_25,fund_neg,e2526,9,8,-1121.2495046511012,124.74306666666668,-1041.5064379844348,-1086.506437984435,1023.1133380222443,-1400.44663537365,0.3333333333333333
long,1,pump_0_25,fund_neg,pre2025,12,11,-1235.3744497337686,202.9492666666667,-1077.4251830671021,-1122.425183067102,513.3951424600734,-1101.5260784273162,0.25
